,Date,Type,Total,Total for Shares,Price per share
0,"Sep 14, 2021","Dividend from EnergizerSep 14, 2021",$0.30Pending,,
1,"Sep 13, 2021","Dividend from SPDR Dow Jones Industrial Average ETFSep 13, 2021",$0.06Pending,,
2,"Sep 10, 2021","Dividend from DowSep 10, 2021",$0.35Pending,,
3,"Sep 7, 2021","Dividend from LyondellBasellSep 7, 2021",$1.13Pending,,
4,"Sep 7, 2021","Dividend from SkyworksSep 7, 2021",$0.67Pending,,
5,"Sep 1, 2021","Dividend from IntelSep 1, 2021",$2.09Pending,,
6,"Aug 27, 2021","Skyworks Limit SellAug 27, 2021",Placed,,
7,11h,QuantumScape Market Sell11h,$22.141 share at $22.14,$22.14,$22.14
8,13h,Ballard Power Systems Market Sell13h,$33.902 shares at $16.95,$33.902,$16.95
9,13h,Eargo Market Buy13h,$20.101 share at $20.10,$20.10,$20.10
10,Aug 30,Corsair Gaming Market SellAug 30,$56.342 shares at $28.17,$56.342,$28.17
11,Aug 30,Eargo Limit BuyAug 30,$20.961 share at $20.96,$20.96,$20.96
12,Aug 30,Eargo Limit BuyAug 30,$21.051 share at $21.05,$21.05,$21.05
13,Aug 30,Eargo Market BuyAug 30,$21.051 share at $21.05,$21.05,$21.05
14,Aug 30,Trinseo Limit SellAug 30,$52.001 share at $52.00,$52.00,$52.00
15,Aug 27,Canadian Solar Market SellAug 27,$18.440.5 shares at $36.88,$18.440.5,$36.88
16,Aug 27,Tanger Factory Outlet Centers Market SellAug 27,$50.883 shares at $16.96,$50.883,$16.96
17,Aug 27,Lam Research Market SellAug 27,$60.960.1 shares at $609.60,$60.960.1,$609.60
18,Aug 27,Bloom Energy Market SellAug 27,$109.355 shares at $21.87,$109.355,$21.87
19,Aug 27,Plug Power Market SellAug 27,$133.555 shares at $26.71,$133.555,$26.71
20,Aug 27,Eastman Chemical Market SellAug 27,$57.700.5 shares at $115.40,$57.700.5,$115.40
21,Aug 27,JetBlue Airways Market SellAug 27,$46.573 shares at $15.52,$46.573,$15.52
22,Aug 27,Trinseo Market SellAug 27,$51.381 share at $51.38,$51.38,$51.38
23,Aug 27,ARK Genomic Revolution ETF Market SellAug 27,$85.251 share at $85.25,$85.25,$85.25
24,Aug 27,American Axle & Manufacturing Market SellAug 27,$36.264 shares at $9.07,$36.264,$9.07
25,Aug 27,Diamondback Energy Market SellAug 27,$76.521 share at $76.52,$76.52,$76.52
26,Aug 27,Dow Market SellAug 27,$32.840.5 shares at $65.68,$32.840.5,$65.68
27,Aug 27,Clean Energy Fuels Market SellAug 27,$82.2010 shares at $8.22,$82.2010,$8.22
28,Aug 27,Huntsman Market SellAug 27,$26.061 share at $26.06,$26.06,$26.06
29,Aug 26,Pinnacle West Market BuyAug 26,$76.621 share at $76.62,$76.62,$76.62
30,Aug 26,Rackspace Technology Market BuyAug 26,$40.013 shares at $13.34,$40.013,$13.34
31,Aug 26,ARK Autonomous Technology & Robotics Market SellAug 26,$41.690.5 shares at $83.38,$41.690.5,$83.38
32,Aug 26,ARK Next Generation Internet Market SellAug 26,$75.810.5 shares at $151.62,$75.810.5,$151.62
33,Aug 26,Trinseo Limit SellAug 26,$49.001 share at $49.00,$49.00,$49.00
34,Aug 25,Bloom Energy Market SellAug 25,$107.755 shares at $21.55,$107.755,$21.55
35,Aug 25,Clean Energy Fuels Market SellAug 25,$39.855 shares at $7.97,$39.855,$7.97
36,Aug 25,Plug Power Market SellAug 25,$133.035 shares at $26.61,$133.035,$26.61
37,Aug 25,Dow Market SellAug 25,$63.731 share at $63.73,$63.73,$63.73
38,Aug 25,Roblox Market SellAug 25,$89.541 share at $89.54,$89.54,$89.54
39,Aug 25,Airbnb Market SellAug 25,$81.190.5 shares at $162.38,$81.190.5,$162.38
40,Aug 25,Eastman Chemical Market SellAug 25,$113.471 share at $113.47,$113.47,$113.47
41,Aug 25,Dow Market SellAug 25,$63.801 share at $63.80,$63.80,$63.80
42,Aug 25,Taiwan Semiconductor Manufacturing Market SellAug 25,$237.722 shares at $118.86,$237.722,$118.86
