,Date,Type,Total,Total for Shares,Price per share,Year,"B,S,D,O",Stock Name,Float Total
0,"Sep 14, 2021","Dividend from EnergizerSep 14, 2021",$0.30Pending,$0.,,2021,Dividend,,0.0
1,"Sep 13, 2021","Dividend from SPDR Dow Jones Industrial Average ETFSep 13, 2021",$0.06Pending,$0.,,2021,Dividend,,0.0
2,"Sep 10, 2021","Dividend from DowSep 10, 2021",$0.35Pending,$0.,,2021,Dividend,,0.0
3,"Sep 7, 2021","Dividend from LyondellBasellSep 7, 2021",$1.13Pending,$1.,,2021,Dividend,,1.0
4,"Sep 7, 2021","Dividend from SkyworksSep 7, 2021",$0.67Pending,$0.,,2021,Dividend,,0.0
5,"Sep 1, 2021","Dividend from IntelSep 1, 2021",$2.09Pending,$2.,,2021,Dividend,,2.0
7,11h,QuantumScape Market Sell11h,$22.141 share at $22.14,$22.1,$22.14,2021,Sell,QuantumScape ,22.1
8,13h,Ballard Power Systems Market Sell13h,$33.902 shares at $16.95,$33.9,$16.95,2021,Sell,Ballard Power Systems ,33.9
9,13h,Eargo Market Buy13h,$20.101 share at $20.10,$20.1,$20.10,2021,Buy,Eargo ,20.1
10,Aug 30,Corsair Gaming Market SellAug 30,$56.342 shares at $28.17,$56.3,$28.17,2021,Sell,Corsair Gaming ,56.3
11,Aug 30,Eargo Limit BuyAug 30,$20.961 share at $20.96,$20.9,$20.96,2021,Buy,Eargo ,20.9
12,Aug 30,Eargo Limit BuyAug 30,$21.051 share at $21.05,$21.0,$21.05,2021,Buy,Eargo ,21.0
13,Aug 30,Eargo Market BuyAug 30,$21.051 share at $21.05,$21.0,$21.05,2021,Buy,Eargo ,21.0
14,Aug 30,Trinseo Limit SellAug 30,$52.001 share at $52.00,$52.0,$52.00,2021,Sell,Trinseo ,52.0
15,Aug 27,Canadian Solar Market SellAug 27,$18.440.5 shares at $36.88,$18.4,$36.88,2021,Sell,Canadian Solar ,18.4
16,Aug 27,Tanger Factory Outlet Centers Market SellAug 27,$50.883 shares at $16.96,$50.8,$16.96,2021,Sell,Tanger Factory Outlet Centers ,50.8
17,Aug 27,Lam Research Market SellAug 27,$60.960.1 shares at $609.60,$60.9,$609.60,2021,Sell,Lam Research ,60.9
18,Aug 27,Bloom Energy Market SellAug 27,$109.355 shares at $21.87,$109.3,$21.87,2021,Sell,Bloom Energy ,109.3
19,Aug 27,Plug Power Market SellAug 27,$133.555 shares at $26.71,$133.5,$26.71,2021,Sell,Plug Power ,133.5
20,Aug 27,Eastman Chemical Market SellAug 27,$57.700.5 shares at $115.40,$57.7,$115.40,2021,Sell,Eastman Chemical ,57.7
21,Aug 27,JetBlue Airways Market SellAug 27,$46.573 shares at $15.52,$46.5,$15.52,2021,Sell,JetBlue Airways ,46.5
22,Aug 27,Trinseo Market SellAug 27,$51.381 share at $51.38,$51.3,$51.38,2021,Sell,Trinseo ,51.3
23,Aug 27,ARK Genomic Revolution ETF Market SellAug 27,$85.251 share at $85.25,$85.2,$85.25,2021,Sell,ARK Genomic Revolution ETF ,85.2
24,Aug 27,American Axle & Manufacturing Market SellAug 27,$36.264 shares at $9.07,$36.2,$9.07,2021,Sell,American Axle & Manufacturing ,36.2
25,Aug 27,Diamondback Energy Market SellAug 27,$76.521 share at $76.52,$76.5,$76.52,2021,Sell,Diamondback Energy ,76.5
26,Aug 27,Dow Market SellAug 27,$32.840.5 shares at $65.68,$32.8,$65.68,2021,Sell,Dow ,32.8
27,Aug 27,Clean Energy Fuels Market SellAug 27,$82.2010 shares at $8.22,$82.2,$8.22,2021,Sell,Clean Energy Fuels ,82.2
28,Aug 27,Huntsman Market SellAug 27,$26.061 share at $26.06,$26.0,$26.06,2021,Sell,Huntsman ,26.0
29,Aug 26,Pinnacle West Market BuyAug 26,$76.621 share at $76.62,$76.6,$76.62,2021,Buy,Pinnacle West ,76.6
30,Aug 26,Rackspace Technology Market BuyAug 26,$40.013 shares at $13.34,$40.0,$13.34,2021,Buy,Rackspace Technology ,40.0
31,Aug 26,ARK Autonomous Technology & Robotics Market SellAug 26,$41.690.5 shares at $83.38,$41.6,$83.38,2021,Sell,ARK Autonomous Technology & Robotics ,41.6
32,Aug 26,ARK Next Generation Internet Market SellAug 26,$75.810.5 shares at $151.62,$75.8,$151.62,2021,Sell,ARK Next Generation Internet ,75.8
33,Aug 26,Trinseo Limit SellAug 26,$49.001 share at $49.00,$49.0,$49.00,2021,Sell,Trinseo ,49.0
34,Aug 25,Bloom Energy Market SellAug 25,$107.755 shares at $21.55,$107.7,$21.55,2021,Sell,Bloom Energy ,107.7
35,Aug 25,Clean Energy Fuels Market SellAug 25,$39.855 shares at $7.97,$39.8,$7.97,2021,Sell,Clean Energy Fuels ,39.8
36,Aug 25,Plug Power Market SellAug 25,$133.035 shares at $26.61,$133.0,$26.61,2021,Sell,Plug Power ,133.0
37,Aug 25,Dow Market SellAug 25,$63.731 share at $63.73,$63.7,$63.73,2021,Sell,Dow ,63.7
38,Aug 25,Roblox Market SellAug 25,$89.541 share at $89.54,$89.5,$89.54,2021,Sell,Roblox ,89.5
39,Aug 25,Airbnb Market SellAug 25,$81.190.5 shares at $162.38,$81.1,$162.38,2021,Sell,Airbnb ,81.1
40,Aug 25,Eastman Chemical Market SellAug 25,$113.471 share at $113.47,$113.4,$113.47,2021,Sell,Eastman Chemical ,113.4
41,Aug 25,Dow Market SellAug 25,$63.801 share at $63.80,$63.8,$63.80,2021,Sell,Dow ,63.8
42,Aug 25,Taiwan Semiconductor Manufacturing Market SellAug 25,$237.722 shares at $118.86,$237.7,$118.86,2021,Sell,Taiwan Semiconductor Manufacturing ,237.7
43,Aug 25,Taiwan Semiconductor Manufacturing Market BuyAug 25,$118.791 share at $118.79,$118.7,$118.79,2021,Buy,Taiwan Semiconductor Manufacturing ,118.7
44,Aug 25,Airbnb Market SellAug 25,$81.260.5 shares at $162.52,$81.2,$162.52,2021,Sell,Airbnb ,81.2
