,Date,Type,Total,Total for Shares,Price per share,Year,"B,S,D,O",Stock Name,Float Total,Sell?,Dividend?,Buy?,
0,14-Sep-21,"Dividend from EnergizerSep 14, 2021",$0.30Pending,0.00,,2021,Dividend,,0,0,0,0,4718.2
1,13-Sep-21,"Dividend from SPDR Dow Jones Industrial Average ETFSep 13, 2021",$0.06Pending,0.00,,2021,Dividend,,0,0,0,0,
2,10-Sep-21,"Dividend from DowSep 10, 2021",$0.35Pending,0.00,,2021,Dividend,,0,0,0,0,
3,7-Sep-21,"Dividend from LyondellBasellSep 7, 2021",$1.13Pending,1.00,,2021,Dividend,,1,0,1,0,
4,7-Sep-21,"Dividend from SkyworksSep 7, 2021",$0.67Pending,0.00,,2021,Dividend,,0,0,0,0,
5,1-Sep-21,"Dividend from IntelSep 1, 2021",$2.09Pending,2.00,,2021,Dividend,,2,0,2,0,
7,11h,QuantumScape Market Sell11h,$22.141 share at $22.14,22.10,$22.14 ,2021,Sell,QuantumScape ,22.1,-22.1,0,0,
8,13h,Ballard Power Systems Market Sell13h,$33.902 shares at $16.95,33.90,$16.95 ,2021,Sell,Ballard Power Systems ,33.9,-33.9,0,0,
9,13h,Eargo Market Buy13h,$20.101 share at $20.10,20.10,$20.10 ,2021,Buy,Eargo ,20.1,0,0,20.1,
10,30-Aug,Corsair Gaming Market SellAug 30,$56.342 shares at $28.17,56.30,$28.17 ,2021,Sell,Corsair Gaming ,56.3,-56.3,0,0,
11,30-Aug,Eargo Limit BuyAug 30,$20.961 share at $20.96,20.90,$20.96 ,2021,Buy,Eargo ,20.9,0,0,20.9,
12,30-Aug,Eargo Limit BuyAug 30,$21.051 share at $21.05,21.00,$21.05 ,2021,Buy,Eargo ,21,0,0,21,
13,30-Aug,Eargo Market BuyAug 30,$21.051 share at $21.05,21.00,$21.05 ,2021,Buy,Eargo ,21,0,0,21,
14,30-Aug,Trinseo Limit SellAug 30,$52.001 share at $52.00,52.00,$52.00 ,2021,Sell,Trinseo ,52,-52,0,0,
15,27-Aug,Canadian Solar Market SellAug 27,$18.440.5 shares at $36.88,18.40,$36.88 ,2021,Sell,Canadian Solar ,18.4,-18.4,0,0,
16,27-Aug,Tanger Factory Outlet Centers Market SellAug 27,$50.883 shares at $16.96,50.80,$16.96 ,2021,Sell,Tanger Factory Outlet Centers ,50.8,-50.8,0,0,
17,27-Aug,Lam Research Market SellAug 27,$60.960.1 shares at $609.60,60.90,$609.60 ,2021,Sell,Lam Research ,60.9,-60.9,0,0,
18,27-Aug,Bloom Energy Market SellAug 27,$109.355 shares at $21.87,109.30,$21.87 ,2021,Sell,Bloom Energy ,109.3,-109.3,0,0,
19,27-Aug,Plug Power Market SellAug 27,$133.555 shares at $26.71,133.50,$26.71 ,2021,Sell,Plug Power ,133.5,-133.5,0,0,
20,27-Aug,Eastman Chemical Market SellAug 27,$57.700.5 shares at $115.40,57.70,$115.40 ,2021,Sell,Eastman Chemical ,57.7,-57.7,0,0,
21,27-Aug,JetBlue Airways Market SellAug 27,$46.573 shares at $15.52,46.50,$15.52 ,2021,Sell,JetBlue Airways ,46.5,-46.5,0,0,
22,27-Aug,Trinseo Market SellAug 27,$51.381 share at $51.38,51.30,$51.38 ,2021,Sell,Trinseo ,51.3,-51.3,0,0,
23,27-Aug,ARK Genomic Revolution ETF Market SellAug 27,$85.251 share at $85.25,85.20,$85.25 ,2021,Sell,ARK Genomic Revolution ETF ,85.2,-85.2,0,0,
24,27-Aug,American Axle & Manufacturing Market SellAug 27,$36.264 shares at $9.07,36.20,$9.07 ,2021,Sell,American Axle & Manufacturing ,36.2,-36.2,0,0,
25,27-Aug,Diamondback Energy Market SellAug 27,$76.521 share at $76.52,76.50,$76.52 ,2021,Sell,Diamondback Energy ,76.5,-76.5,0,0,
26,27-Aug,Dow Market SellAug 27,$32.840.5 shares at $65.68,32.80,$65.68 ,2021,Sell,Dow ,32.8,-32.8,0,0,
27,27-Aug,Clean Energy Fuels Market SellAug 27,$82.2010 shares at $8.22,82.20,$8.22 ,2021,Sell,Clean Energy Fuels ,82.2,-82.2,0,0,
28,27-Aug,Huntsman Market SellAug 27,$26.061 share at $26.06,26.00,$26.06 ,2021,Sell,Huntsman ,26,-26,0,0,
29,26-Aug,Pinnacle West Market BuyAug 26,$76.621 share at $76.62,76.60,$76.62 ,2021,Buy,Pinnacle West ,76.6,0,0,76.6,
30,26-Aug,Rackspace Technology Market BuyAug 26,$40.013 shares at $13.34,40.00,$13.34 ,2021,Buy,Rackspace Technology ,40,0,0,40,
31,26-Aug,ARK Autonomous Technology & Robotics Market SellAug 26,$41.690.5 shares at $83.38,41.60,$83.38 ,2021,Sell,ARK Autonomous Technology & Robotics ,41.6,-41.6,0,0,
32,26-Aug,ARK Next Generation Internet Market SellAug 26,$75.810.5 shares at $151.62,75.80,$151.62 ,2021,Sell,ARK Next Generation Internet ,75.8,-75.8,0,0,
33,26-Aug,Trinseo Limit SellAug 26,$49.001 share at $49.00,49.00,$49.00 ,2021,Sell,Trinseo ,49,-49,0,0,
34,25-Aug,Bloom Energy Market SellAug 25,$107.755 shares at $21.55,107.70,$21.55 ,2021,Sell,Bloom Energy ,107.7,-107.7,0,0,
35,25-Aug,Clean Energy Fuels Market SellAug 25,$39.855 shares at $7.97,39.80,$7.97 ,2021,Sell,Clean Energy Fuels ,39.8,-39.8,0,0,
36,25-Aug,Plug Power Market SellAug 25,$133.035 shares at $26.61,133.00,$26.61 ,2021,Sell,Plug Power ,133,-133,0,0,
37,25-Aug,Dow Market SellAug 25,$63.731 share at $63.73,63.70,$63.73 ,2021,Sell,Dow ,63.7,-63.7,0,0,
38,25-Aug,Roblox Market SellAug 25,$89.541 share at $89.54,89.50,$89.54 ,2021,Sell,Roblox ,89.5,-89.5,0,0,
39,25-Aug,Airbnb Market SellAug 25,$81.190.5 shares at $162.38,81.10,$162.38 ,2021,Sell,Airbnb ,81.1,-81.1,0,0,
40,25-Aug,Eastman Chemical Market SellAug 25,$113.471 share at $113.47,113.40,$113.47 ,2021,Sell,Eastman Chemical ,113.4,-113.4,0,0,
41,25-Aug,Dow Market SellAug 25,$63.801 share at $63.80,63.80,$63.80 ,2021,Sell,Dow ,63.8,-63.8,0,0,
42,25-Aug,Taiwan Semiconductor Manufacturing Market SellAug 25,$237.722 shares at $118.86,237.70,$118.86 ,2021,Sell,Taiwan Semiconductor Manufacturing ,237.7,-237.7,0,0,
43,25-Aug,Taiwan Semiconductor Manufacturing Market BuyAug 25,$118.791 share at $118.79,118.70,$118.79 ,2021,Buy,Taiwan Semiconductor Manufacturing ,118.7,0,0,118.7,
44,25-Aug,Airbnb Market SellAug 25,$81.260.5 shares at $162.52,81.20,$162.52 ,2021,Sell,Airbnb ,81.2,-81.2,0,0,
46,25-Aug,Velodyne Lidar Market SellAug 25,$75.6510 shares at $7.57,75.60,$7.57 ,2021,Sell,Velodyne Lidar ,75.6,-75.6,0,0,
47,25-Aug,Taiwan Semiconductor Manufacturing Market SellAug 25,$117.961 share at $117.96,117.90,$117.96 ,2021,Sell,Taiwan Semiconductor Manufacturing ,117.9,-117.9,0,0,
48,25-Aug,Taiwan Semiconductor Manufacturing Market SellAug 25,$116.761 share at $116.76,116.70,$116.76 ,2021,Sell,Taiwan Semiconductor Manufacturing ,116.7,-116.7,0,0,
49,24-Aug,VanEck Vectors Oil Services ETF Market SellAug 24,$183.241 share at $183.24,183.20,$183.24 ,2021,Sell,VanEck Vectors Oil Services ETF ,183.2,-183.2,0,0,
