,Date,Type,Total,Total for Shares,Price per share,Year,"B,S,D,O",Stock Name,Float Total,Shares,Ticker
3201,"Mar 16, 2020","Bonus stockMar 16, 2020",$7.00,,,2020,Idk,Idk,,0.0,Idk
3200,"Mar 17, 2020","Deposit from Checking (non-interest)Mar 17, 2020",100.0,,,2020,Deposit,N/A,,0.0,Idk
3199,"Mar 23, 2020","Ford Motor Market BuyMar 23, 2020",$4.201 share at $4.20,$4.20,$4.20,2020,Buy,Ford Motor,4.2,1.0,F
3198,"Mar 23, 2020","Bayer Market BuyMar 23, 2020",$12.871 share at $12.87,$12.87,$12.87,2020,Buy,Bayer,12.87,1.0,BAYRY
3197,"Mar 23, 2020","L Brands Market BuyMar 23, 2020",$17.982 shares at $8.99,$17.98,$8.99,2020,Buy,L Brands,17.98,2.0,LB
3196,"Mar 23, 2020","Ford Motor Market BuyMar 23, 2020",$12.353 shares at $4.12,$12.35,$4.12,2020,Buy,Ford Motor,12.35,2.9975728155339803,F
3195,"Mar 23, 2020","Bayer Market BuyMar 23, 2020",$12.841 share at $12.84,$12.84,$12.84,2020,Buy,Bayer,12.84,1.0,BAYRY
3194,"Mar 23, 2020","GE Market BuyMar 23, 2020",$6.471 share at $6.47,$6.47,$6.47,2020,Buy,GE,6.47,1.0,GE
3193,"Mar 23, 2020","AMC Entertainment Market BuyMar 23, 2020",$5.852 shares at $2.93,$5.85,$2.93,2020,Buy,AMC Entertainment,5.85,1.9965870307167233,AMC
3192,"Mar 23, 2020","Goodyear Market BuyMar 23, 2020",$11.022 shares at $5.51,$11.02,$5.51,2020,Buy,Goodyear,11.02,2.0,GT
3191,"Mar 23, 2020","Airbus Market BuyMar 23, 2020",$15.731 share at $15.73,$15.73,$15.73,2020,Buy,Airbus,15.73,1.0,EADSY
3190,"Mar 26, 2020","Deposit from Checking (non-interest)Mar 26, 2020",100.0,,,2020,Deposit,N/A,,0.0,Idk
3189,"Mar 27, 2020","Rolls-Royce Market BuyMar 27, 2020",$13.833 shares at $4.61,$13.83,$4.61,2020,Buy,Rolls-Royce,13.83,3.0,RYCEY
3188,"Mar 27, 2020","Tata Motors Market BuyMar 27, 2020",$14.043 shares at $4.68,$14.04,$4.68,2020,Buy,Tata Motors,14.04,3.0,TTM
3187,"Mar 27, 2020","Norsk Hydro Market BuyMar 27, 2020",$8.444 shares at $2.11,$8.44,$2.11,2020,Buy,Norsk Hydro,8.44,4.0,NHYDY
3186,"Mar 27, 2020","Deposit from Checking (non-interest)Mar 27, 2020",100.0,,,2020,Deposit,N/A,,0.0,Idk
3185,"Mar 27, 2020","Bombardier Market BuyMar 27, 2020",$0.662 shares at $0.33,$0.66,$0.33,2020,Buy,Bombardier,0.66,2.0,BDRBF
3184,"Mar 27, 2020","Mylan Market BuyMar 27, 2020",$14.611 share at $14.61,$14.61,$14.61,2020,Buy,Mylan,14.61,1.0,MYL
3183,"Mar 27, 2020","Deposit from Checking (non-interest)Mar 27, 2020",10.0,,,2020,Deposit,N/A,,0.0,Idk
3182,"Mar 27, 2020","Deposit from Checking (non-interest)Mar 27, 2020",10.23,,,2020,Deposit,N/A,,0.0,Idk
3181,"Mar 27, 2020","Boeing Market BuyMar 27, 2020",$161.291 share at $161.29,$161.29,$161.29,2020,Buy,Boeing,161.29,1.0,BA
3180,"Mar 27, 2020","Deposit from Checking (non-interest)Mar 27, 2020",3.0,,,2020,Deposit,N/A,,0.0,Idk
3179,"Mar 27, 2020","Deutsche Lufthansa Market BuyMar 27, 2020",$10.251 share at $10.25,$10.25,$10.25,2020,Buy,Deutsche Lufthansa,10.25,1.0,DLAKY
3178,"Mar 31, 2020","Deposit from Checking (non-interest)Mar 31, 2020",20.0,,,2020,Deposit,N/A,,0.0,Idk
3177,"Apr 2, 2020","Airbus Market BuyApr 2, 2020",$13.931 share at $13.93,$13.93,$13.93,2020,Buy,Airbus,13.93,1.0,EADSY
3176,"Apr 2, 2020","Deposit from Checking (non-interest)Apr 2, 2020",110.0,,,2020,Deposit,N/A,,0.0,Idk
3175,"Apr 2, 2020","Corning Market BuyApr 2, 2020",$19.221 share at $19.22,$19.22,$19.22,2020,Buy,Corning,19.22,1.0,GLW
3174,"Apr 2, 2020","Airbus Market BuyApr 2, 2020",$13.621 share at $13.62,$13.62,$13.62,2020,Buy,Airbus,13.62,1.0,EADSY
3173,"Apr 2, 2020","Deutsche Lufthansa Market BuyApr 2, 2020",$8.741 share at $8.74,$8.74,$8.74,2020,Buy,Deutsche Lufthansa,8.74,1.0,DLAKY
3172,"Apr 2, 2020","United States Steel Market BuyApr 2, 2020",$12.622 shares at $6.31,$12.62,$6.31,2020,Buy,United States Steel,12.62,2.0,X
3171,"Apr 2, 2020","US Concrete Market BuyApr 2, 2020",$31.982 shares at $15.99,$31.98,$15.99,2020,Buy,US Concrete,31.98,2.0,USCR
3170,"Apr 2, 2020","BJ's Restaurants Market BuyApr 2, 2020",$11.241 share at $11.24,$11.24,$11.24,2020,Buy,BJ's Restaurants,11.24,1.0,BJRI
3169,"Apr 2, 2020","Deposit from Checking (non-interest)Apr 2, 2020",1.87,,,2020,Deposit,N/A,,0.0,Idk
3168,"Apr 2, 2020","Herman Miller Market BuyApr 2, 2020",$20.281 share at $20.28,$20.28,$20.28,2020,Buy,Herman Miller,20.28,1.0,MLHR
3167,"Apr 3, 2020","Deposit from Checking (non-interest)Apr 3, 2020",17.86,,,2020,Deposit,N/A,,0.0,Idk
3166,"Apr 3, 2020","Herman Miller Market BuyApr 3, 2020",$18.001 share at $18.00,$18.00,$18.00,2020,Buy,Herman Miller,18.0,1.0,MLHR
3165,"Apr 3, 2020","Deposit from Checking (non-interest)Apr 3, 2020",18.25,,,2020,Deposit,N/A,,0.0,Idk
3164,"Apr 3, 2020","Corning Market BuyApr 3, 2020",$18.251 share at $18.25,$18.25,$18.25,2020,Buy,Corning,18.25,1.0,GLW
3163,"Apr 3, 2020","Deposit from Checking (non-interest)Apr 3, 2020",8.79,,,2020,Deposit,N/A,,0.0,Idk
3162,"Apr 3, 2020","Rolls-Royce Market BuyApr 3, 2020",$9.243 shares at $3.08,$9.24,$3.08,2020,Buy,Rolls-Royce,9.24,3.0,RYCEY
