Activity Date,Process Date,Settle Date,Account Type,Instrument,Description,Trans Code,Quantity,Price,Amount,Suppressed
9/2/2021,9/2/2021,9/7/2021,2,ARKX,ARK Space Exploration & Innovation,SELL,-1,$21.31 ,$21.31 ,N
9/2/2021,9/2/2021,9/7/2021,2,ARKG,ARK Genomic Revolution ETF,SELL,-0.5,$87.66 ,$43.83 ,N
9/2/2021,9/2/2021,9/7/2021,2,POAHY,Porsche,SELL,-3,$10.28 ,$30.84 ,N
9/2/2021,9/2/2021,9/7/2021,2,CRSR,Corsair Gaming,SELL,-1,$28.98 ,$28.98 ,N
9/2/2021,9/2/2021,9/7/2021,2,ARKX,ARK Space Exploration & Innovation,SELL,-1,$21.30 ,$21.30 ,N
9/2/2021,9/2/2021,9/7/2021,2,ARKK,ARK Innovation ETF,SELL,-0.5,$125.10 ,$62.55 ,N
9/2/2021,9/2/2021,9/7/2021,2,PLUG,Plug Power,SELL,-1,$27.46 ,$27.46 ,N
9/2/2021,9/2/2021,9/7/2021,2,NTDOY,Nintendo,SELL,-2,$62.19 ,$124.38 ,N
9/2/2021,9/2/2021,9/7/2021,2,SIEGY,Siemens,SELL,-1,$83.83 ,$83.83 ,N
9/2/2021,9/2/2021,9/7/2021,2,DM,Desktop Metal,SELL,-10,$8.75 ,$87.50 ,N
9/2/2021,9/2/2021,9/7/2021,2,COIN,Coinbase,SELL,-0.5,$274.13 ,$137.07 ,N
9/2/2021,9/2/2021,9/7/2021,2,QS,QuantumScape,SELL,-1,$23.09 ,$23.09 ,N
9/1/2021,9/1/2021,9/1/2021,2,INTC,Cash Div: R/D 2021-08-07 P/D 2021-09-01 - 6 shares at 0.3475,CDIV,--,--,$2.09 ,N
9/1/2021,9/1/2021,9/3/2021,2,COIN,Coinbase,SELL,-0.65,$269.42 ,$175.13 ,N
9/1/2021,9/1/2021,9/3/2021,2,ICLN,IShares Global Clean Energy ETF,SELL,-3,$23.65 ,$70.96 ,N
9/1/2021,9/1/2021,9/3/2021,2,BE,Bloom Energy,SELL,-2,$21.92 ,$43.83 ,N
9/1/2021,9/1/2021,9/3/2021,2,HJEN,Direxion Hydrogen ETF,SELL,-3,$21.89 ,$65.67 ,N
9/1/2021,9/1/2021,9/3/2021,2,TSM,Taiwan Semiconductor Manufacturing,SELL,-1,$120.34 ,$120.34 ,N
9/1/2021,9/1/2021,9/3/2021,2,RUN,Sunrun,SELL,-1,$47.53 ,$47.53 ,N
9/1/2021,9/1/2021,9/3/2021,2,UPWK,Upwork,SELL,-2,$45.06 ,$90.12 ,N
9/1/2021,9/1/2021,9/3/2021,2,COIN,Coinbase,SELL,-0.5,$268.76 ,$134.38 ,N
9/1/2021,9/1/2021,9/3/2021,2,ARKX,ARK Space Exploration & Innovation,SELL,-2,$21.16 ,$42.31 ,N
9/1/2021,9/1/2021,9/3/2021,2,ARKQ,ARK Autonomous Technology & Robotics,SELL,-0.5,$85.08 ,$42.54 ,N
9/1/2021,9/1/2021,9/3/2021,2,ARKK,ARK Innovation ETF,SELL,-1,$124.22 ,$124.22 ,N
9/1/2021,9/1/2021,9/3/2021,2,ARKG,ARK Genomic Revolution ETF,SELL,-1,$86.96 ,$86.96 ,N
9/1/2021,9/1/2021,9/3/2021,2,BLDP,Ballard Power Systems,SELL,-2,$17.02 ,$34.03 ,N
9/1/2021,9/1/2021,9/3/2021,2,PLUG,Plug Power,SELL,-2,$27.38 ,$54.76 ,N
9/1/2021,9/1/2021,9/3/2021,2,CSIQ,Canadian Solar,SELL,-1,$37.51 ,$37.51 ,N
8/31/2021,8/31/2021,9/2/2021,2,QS,QuantumScape,SELL,-1,$22.14 ,$22.14 ,N
8/31/2021,8/31/2021,9/2/2021,2,BLDP,Ballard Power Systems,SELL,-2,$16.95 ,$33.90 ,N
8/31/2021,8/31/2021,9/2/2021,2,EAR,Eargo,BUY,1,$20.10 ,($20.10),N
8/30/2021,8/30/2021,9/1/2021,2,CRSR,Corsair Gaming,SELL,-2,$28.17 ,$56.34 ,N
8/30/2021,8/30/2021,9/1/2021,2,EAR,Eargo,BUY,1,$20.96 ,($20.96),N
8/30/2021,8/30/2021,9/1/2021,2,EAR,Eargo,BUY,1,$21.05 ,($21.05),N
8/30/2021,8/30/2021,9/1/2021,2,EAR,Eargo,BUY,1,$21.05 ,($21.05),N
8/30/2021,8/30/2021,9/1/2021,2,TSE,Trinseo,SELL,-1,$52.00 ,$52.00 ,N
8/27/2021,8/27/2021,8/31/2021,2,CSIQ,Canadian Solar,SELL,-0.5,$36.88 ,$18.44 ,N
8/27/2021,8/27/2021,8/31/2021,2,SKT,Tanger Factory Outlet Centers,SELL,-3,$16.96 ,$50.88 ,N
8/27/2021,8/27/2021,8/31/2021,2,LRCX,Lam Research,SELL,-0.1,$609.58 ,$60.96 ,N
8/27/2021,8/27/2021,8/31/2021,2,BE,Bloom Energy,SELL,-5,$21.87 ,$109.35 ,N
8/27/2021,8/27/2021,8/31/2021,2,PLUG,Plug Power,SELL,-5,$26.71 ,$133.55 ,N
8/27/2021,8/27/2021,8/31/2021,2,EMN,Eastman Chemical,SELL,-0.5,$115.40 ,$57.70 ,N
8/27/2021,8/27/2021,8/31/2021,2,JBLU,JetBlue Airways,SELL,-3,$15.52 ,$46.57 ,N
8/27/2021,8/27/2021,8/31/2021,2,TSE,Trinseo,SELL,-1,$51.38 ,$51.38 ,N
8/27/2021,8/27/2021,8/31/2021,2,ARKG,ARK Genomic Revolution ETF,SELL,-1,$85.25 ,$85.25 ,N
8/27/2021,8/27/2021,8/31/2021,2,AXL,American Axle & Manufacturing,SELL,-4,$9.06 ,$36.26 ,N
8/27/2021,8/27/2021,8/31/2021,2,FANG,Diamondback Energy,SELL,-1,$76.52 ,$76.52 ,N
8/27/2021,8/27/2021,8/31/2021,2,DOW,Dow,SELL,-0.5,$65.67 ,$32.84 ,N
8/27/2021,8/27/2021,8/31/2021,2,CLNE,Clean Energy Fuels,SELL,-10,$8.22 ,$82.20 ,N
8/27/2021,8/27/2021,8/31/2021,2,HUN,Huntsman,SELL,-1,$26.06 ,$26.06 ,N
8/26/2021,8/26/2021,8/30/2021,2,PNW,Pinnacle West,BUY,1,$76.62 ,($76.62),N
8/26/2021,8/26/2021,8/30/2021,2,RXT,Rackspace Technology,BUY,3,$13.34 ,($40.01),N
8/26/2021,8/26/2021,8/30/2021,2,ARKQ,ARK Autonomous Technology & Robotics,SELL,-0.5,$83.38 ,$41.69 ,N
8/26/2021,8/26/2021,8/30/2021,2,ARKW,ARK Next Generation Internet,SELL,-0.5,$151.61 ,$75.81 ,N
8/26/2021,8/26/2021,8/30/2021,2,TSE,Trinseo,SELL,-1,$49.00 ,$49.00 ,N
8/25/2021,8/25/2021,8/27/2021,2,BE,Bloom Energy,SELL,-5,$21.55 ,$107.75 ,N
8/25/2021,8/25/2021,8/27/2021,2,CLNE,Clean Energy Fuels,SELL,-5,$7.97 ,$39.85 ,N
8/25/2021,8/25/2021,8/27/2021,2,PLUG,Plug Power,SELL,-5,$26.60 ,$133.03 ,N
8/25/2021,8/25/2021,8/27/2021,2,DOW,Dow,SELL,-1,$63.73 ,$63.73 ,N
8/25/2021,8/25/2021,8/27/2021,2,RBLX,Roblox,SELL,-1,$89.54 ,$89.54 ,N
8/25/2021,8/25/2021,8/27/2021,2,ABNB,Airbnb,SELL,-0.5,$162.38 ,$81.19 ,N
8/25/2021,8/25/2021,8/27/2021,2,EMN,Eastman Chemical,SELL,-1,$113.47 ,$113.47 ,N
8/25/2021,8/25/2021,8/27/2021,2,DOW,Dow,SELL,-1,$63.80 ,$63.80 ,N
8/25/2021,8/25/2021,8/27/2021,2,TSM,Taiwan Semiconductor Manufacturing,SELL,-2,$118.86 ,$237.72 ,N
8/25/2021,8/25/2021,8/27/2021,2,TSM,Taiwan Semiconductor Manufacturing,BUY,1,$118.79 ,($118.79),N
8/25/2021,8/25/2021,8/27/2021,2,ABNB,Airbnb,SELL,-0.5,$162.52 ,$81.26 ,N
8/25/2021,8/25/2021,8/27/2021,2,VLDR,Velodyne Lidar,SELL,-10,$7.56 ,$75.65 ,N
8/25/2021,8/25/2021,8/27/2021,2,TSM,Taiwan Semiconductor Manufacturing,SELL,-1,$117.96 ,$117.96 ,N
8/25/2021,8/25/2021,8/27/2021,2,TSM,Taiwan Semiconductor Manufacturing,SELL,-1,$116.76 ,$116.76 ,N
8/24/2021,8/24/2021,8/26/2021,2,OIH,VanEck Oil Services ETF,SELL,-1,$183.24 ,$183.24 ,N
8/24/2021,8/24/2021,8/26/2021,2,CLNE,Clean Energy Fuels,SELL,-10,$7.72 ,$77.20 ,N
8/24/2021,8/24/2021,8/26/2021,2,NEXA,Nexa Resources,SELL,-10,$8.16 ,$81.65 ,N
8/24/2021,8/24/2021,8/26/2021,2,NEXA,Nexa Resources,SELL,-8,$7.82 ,$62.56 ,N
8/24/2021,8/24/2021,8/26/2021,2,NEXA,Nexa Resources,SELL,-2,$7.82 ,$15.64 ,N
8/24/2021,8/24/2021,8/26/2021,2,MGA,Magna,SELL,-0.5,$80.85 ,$40.43 ,N
8/24/2021,8/24/2021,8/26/2021,2,QS,QuantumScape,SELL,-1,$21.10 ,$21.10 ,N
8/24/2021,8/24/2021,8/26/2021,2,TSE,Trinseo,SELL,-1,$48.56 ,$48.56 ,N
8/24/2021,8/24/2021,8/26/2021,2,DD,Dupont De Nemours,SELL,-0.5,$74.77 ,$37.39 ,N
8/24/2021,8/24/2021,8/26/2021,2,HUN,Huntsman,SELL,-1,$25.56 ,$25.56 ,N
8/24/2021,8/24/2021,8/26/2021,2,NEXA,Nexa Resources,SELL,-23,$7.66 ,$176.18 ,N
8/24/2021,8/24/2021,8/26/2021,2,NEXA,Nexa Resources,SELL,-15,$7.59 ,$113.85 ,N
8/24/2021,8/24/2021,8/26/2021,2,QCOM,Qualcomm,SELL,-0.5,$145.44 ,$72.72 ,N
8/24/2021,8/24/2021,8/26/2021,2,USX,U.S. Xpress,SELL,-15,$9.08 ,$136.27 ,N
8/24/2021,8/24/2021,8/26/2021,2,NEXA,Nexa Resources,SELL,-15,$7.48 ,$112.28 ,N
8/24/2021,8/24/2021,8/26/2021,2,POAHY,Porsche,SELL,-3,$10.04 ,$30.12 ,N
8/24/2021,8/24/2021,8/26/2021,2,ARKK,ARK Innovation ETF,SELL,-1,$121.05 ,$121.05 ,N
8/24/2021,8/24/2021,8/26/2021,2,CI,CIGNA Corporation,SELL,-0.5,$212.14 ,$106.07 ,N
8/24/2021,8/24/2021,8/26/2021,2,PLUG,Plug Power,SELL,-10,$26.05 ,$260.50 ,N
